time,temperature,co2_ppm,time_ordinal,time_scaled,temperature_scaled,co2_scaled
1854-03-01,-0.1771525791213858,286.4089627018681,1520,0.025388765471278957,0.39781359635020686,0.042533115278863054
1854-04-01,-0.381420599447593,286.63256771511504,1551,0.02590656266181162,0.31935988860268794,0.04443786601573363
1854-05-01,-0.3066827445441359,286.5893842744239,1581,0.02640765671716581,0.34806463551759215,0.044070013393457064
1854-06-01,-0.4515657892946639,285.7786250093248,1612,0.026925453907698474,0.29241905755449915,0.03716366417884087
1854-07-01,-0.1601132852255611,283.8075695862005,1642,0.027426547963052664,0.4043579187624587,0.02037348038513942
1854-08-01,-0.1540877700822637,281.93830110149617,1673,0.027944345153585327,0.40667215279344204,0.004450355621752777
1854-09-01,-0.1689833555473771,282.0031685435919,1704,0.02846214234411799,0.4009511696119241,0.005002920639578967
1854-10-01,0.0953605712748374,283.36062411037494,1734,0.028963236399472177,0.50247837463708,0.01656623245246669
1854-11-01,-0.1379189165541582,284.58548748204737,1765,0.02948103359000484,0.41288216308913434,0.02700007459169651
1854-12-01,-0.2681178347229478,285.37040546982377,1795,0.02998212764535903,0.36287635278781993,0.03368629818700164
1855-01-01,0.0039270691602285,285.8703552735882,1826,0.030499924835891694,0.4673612905150709,0.03794505671522419
1855-02-01,-0.0762004393536542,286.1990235491152,1857,0.031017722026424357,0.43658652643087387,0.040744775428617874
1855-03-01,-0.214896632475361,286.5109858270339,1885,0.0314854098114216,0.38331714738912775,0.04340218623579517
1855-04-01,-0.1182274745076995,286.7328545214806,1916,0.03200320700195426,0.4204451023929617,0.04529214636280354
1855-05-01,-0.2646007826725308,286.68791656211573,1946,0.032504301057308456,0.364227155391456,0.04490934809736791
1855-06-01,-0.3017560036049682,285.8742502400905,1977,0.033022098247841115,0.3499568607086522,0.037978235489740886
1855-07-01,-0.3061172506778875,283.9025794785111,2007,0.03352319230319531,0.3482818261010463,0.021182810014027442
1855-08-01,-0.1965111108411772,282.03649603196135,2038,0.03404098949372797,0.3903785187127959,0.005286816591230092
1855-09-01,-0.4178900149108698,282.10091110512064,2069,0.034558786684260635,0.30535299286879075,0.005835528162066783
1855-10-01,-0.3290943459328644,283.4554811812036,2099,0.03505988073961482,0.3394569581009446,0.017374260291085353
1855-11-01,-0.3186858933546782,284.6783751372349,2130,0.03557767793014749,0.3434545574087995,0.027791326214795742
1855-12-01,-0.551894071324795,285.46462502326494,2160,0.036078771985501676,0.2538857340091262,0.0344888954152065
1856-01-01,0.1659135344757101,285.9611126252163,2191,0.03659656917603434,0.5295758201737987,0.038718161619625935
1856-02-01,-0.2523022284065219,286.29071262500906,2222,0.037114366366567,0.3689506905809664,0.04152581710713754
1856-03-01,-0.25650042489856,286.60397718406017,2251,0.037598757286742716,0.36733827920043294,0.04419432122975797
1856-04-01,-0.386103732463941,286.82785548033536,2282,0.03811655447727538,0.3175612264899373,0.0461013998931894
1856-05-01,-0.3744975703825297,286.78542261712346,2312,0.03861764853262957,0.32201883295496925,0.04573994096927381
1856-06-01,-0.1340484898262067,285.9759510417043,2343,0.039135445723162236,0.4143686871514324,0.03884456077467702
1856-07-01,-0.1990826793964562,284.00714697755416,2373,0.03963653977851642,0.3893908502193803,0.022073554894756153
1856-08-01,-0.492707732720214,282.14135301613516,2404,0.04015433696904909,0.2766175728163668,0.006180027414059541
1856-09-01,-0.6221523661123972,282.2103727599721,2435,0.04067213415958175,0.22690146247556395,0.006767963283756728
1856-10-01,-0.639420297567033,283.57255334971865,2465,0.04117322821493594,0.22026932668855856,0.018371524601075606
1856-11-01,-0.4764157622168658,284.8026210488213,2496,0.0416910254054686,0.28287486894358094,0.028849699138599583
1856-12-01,-0.4608831030259456,285.5931484264798,2526,0.0421921194608228,0.288840534556633,0.03558370560494195
1857-01-01,-0.4364674046165669,286.0965220100497,2557,0.042709916651355456,0.298217930315411,0.03987162916400422
1857-02-01,-0.5347694213386557,286.43096763186986,2588,0.04322771384188812,0.26046283933939585,0.04272056146366454
1857-03-01,-0.4923104737061667,286.7488756886235,2616,0.043695401626885365,0.2767701490372474,0.045428620628196636
1857-04-01,-0.7200245803880871,286.9770828703892,2647,0.044213198817418024,0.18931144675442757,0.04737257434960673
1857-05-01,-0.7237757053773268,286.9384857229539,2677,0.04471429287277222,0.18787074319662028,0.04704378948047072
1857-06-01,-0.5045667664694649,286.1322530336733,2708,0.04523209006330488,0.2720628453242909,0.040175999323635025
1857-07-01,-0.4243962980985223,284.1663168443279,2738,0.04573318411865907,0.30285410910366917,0.023429423068830335
1857-08-01,-0.3955566538462468,282.3030940595085,2769,0.04625098130919173,0.31393062033678926,0.007557797827495438
1857-09-01,-0.445736835301137,282.3740335864785,2800,0.0467687784997244,0.2946577978739657,0.0081620871245347
1857-10-01,-0.5355448862153037,283.73753676002406,2830,0.047269872555078585,0.2601650046871392,0.01977691470296783
1857-11-01,-0.3865789412967871,284.96842299331854,2861,0.04778766974561125,0.3173787118954765,0.030262061819426034
1857-12-01,-0.2751179622845889,285.7593522158964,2891,0.04828876380096544,0.36018779703132253,0.03699949135037306
1858-01-01,-0.210362577319717,286.26646622693096,2922,0.0488065609914981,0.3850585528109063,0.04131927726290474
1858-02-01,-0.4401332576295174,286.6010949551618,2953,0.049324358182030764,0.29680997736974635,0.044169769331129594
1858-03-01,-0.1803700152201677,286.9190586278468,2981,0.049792045967028006,0.3965778679626352,0.0468783022528676
1858-04-01,-0.2809004124522576,287.1467881996249,3012,0.05030984315756067,0.35796691754762067,0.048818187514619193
1858-05-01,-0.3905967452923494,287.1074184036255,3042,0.05081093721291486,0.31583558429306824,0.04848282093740641
1858-06-01,-0.2188699602967633,286.29856814584616,3073,0.051328734403447526,0.38179110185744064,0.041592733357742606
1858-07-01,-0.2110909989402138,284.3330651247943,3103,0.05182982845880171,0.3847787861746988,0.02484984699170356
1858-08-01,-0.3111332402036776,282.4755076975881,3134,0.05234762564933437,0.34635532299158983,0.009026481375372875
1858-09-01,-0.3991607705840921,282.5468504804446,3165,0.05286542283986704,0.31254637859015016,0.009634205756159808
1858-10-01,-0.2753748151333111,283.90712590205817,3195,0.053366516895221226,0.3600891469426029,0.02122153814214789
1858-11-01,-0.1331132212636512,285.1358001756079,3226,0.05388431408575389,0.4147278979880332,0.031687842962127455
1858-12-01,-0.4959581245166904,285.92880531876176,3256,0.05438540814110808,0.2753691870550594,0.03844295595727498
1859-01-01,-0.3417974111260112,286.4349297572948,3287,0.054903205331640746,0.33457806143092605,0.042754312322883514
1859-02-01,-0.3016200543151553,286.7707924911122,3318,0.055421002522173406,0.3500090750779618,0.04561531611003744
1859-03-01,-0.2617177989669294,287.0900878195115,3346,0.055888690307170655,0.36533442984743253,0.0483351925708404
1859-04-01,-0.0037802276383853,287.3191821246677,3377,0.056406487497703314,0.46440113057620136,0.050286703139511335
1859-05-01,0.0201680786932558,287.28112041237915,3407,0.0569075815530575,0.4735990139403726,0.049962479306264296
1859-06-01,-0.1211931905847614,286.47335173147695,3438,0.05742537874359017,0.41930605271695087,0.043081605001042966
1859-07-01,-0.2910734986746297,284.5094171655914,3468,0.057926472798944355,0.35405971595969843,0.026352079319947208
1859-08-01,-0.3629814285262247,282.65426714956027,3499,0.05844426998947702,0.32644186513656426,0.010549220928133263
1859-09-01,-0.4310981841726896,282.72751720663945,3530,0.05896206718000968,0.30028009966949426,0.011173192180706781
1859-10-01,-0.2916987663954832,284.0893071775083,3560,0.059463161235363875,0.3538195678887598,0.02277342606102284
1859-11-01,-0.098356895105109,285.3195169604266,3591,0.059980958425896534,0.42807684341015656,0.03325281092137633
1859-12-01,-0.0435141174811788,286.11436374852684,3621,0.06048205248125073,0.44914044034960354,0.04002361173370561
1860-01-01,-0.3094365228627797,286.6252731973154,3652,0.06099984967178339,0.3470069852840053,0.04437572859782746
1860-02-01,-0.2091137980621211,286.9630555550846,3683,0.061517646862316054,0.38553817445094635,0.04725308445635834
1860-03-01,-0.6181536333546359,287.28423896271505,3712,0.06200203778249177,0.22843726534199818,0.04998904427886508
1860-04-01,-0.2312128537753171,287.51473165111776,3743,0.06251983497302444,0.3770505372003846,0.05195246679655918
1860-05-01,-0.1868650251381255,287.4777030737606,3773,0.06302092902837862,0.3940833139492025,0.05163704359122878
1860-06-01,-0.1984409589595027,286.66912754576884,3804,0.06353872621891128,0.38963731732439244,0.044749296262160065
1860-07-01,-0.2507523636164007,284.7069048502416,3834,0.06403982027426547,0.36954595086252273,0.028034352929997564
1860-08-01,-0.1900245769654407,282.8579850152098,3865,0.06455761746479814,0.3928698173123943,0.012284565539039338
1860-09-01,-0.2505109838285964,282.93242146433136,3896,0.0650754146553308,0.3696386581756808,0.012918642920648704
