time,co2_ppm,co2_scaled,time_ordinal,time_scaled,predicted_temperature
2020-07-01,403.37054965946015,0.29657794676806404,2373,0.2964767616191904,-0.35514298
2020-08-01,403.4282885244252,0.3003802281368877,2404,0.3003498250874563,-0.34277445
2020-09-01,403.4860273893902,0.30418250950570425,2435,0.3042228885557221,-0.31467533
2020-10-01,403.5437662543552,0.30798479087452435,2465,0.3079710144927536,-0.29386887
2020-11-01,403.6015051193202,0.311787072243348,2496,0.3118440779610195,-0.2755951
2020-12-01,403.6592439842853,0.31558935361217166,2526,0.315592203898051,-0.25787753
2021-01-01,403.7169828492503,0.31939163498099177,2557,0.3194652673663168,-0.23935516
2021-02-01,403.7747217142153,0.3231939163498083,2588,0.3233383308345827,-0.21962222
2021-03-01,403.8324605791804,0.32699619771863553,2616,0.3268365817091454,-0.2017172
2021-04-01,403.89019944414537,0.33079847908745563,2647,0.3307096451774113,-0.18198425
2021-05-01,403.9479383091104,0.33460076045627574,2677,0.33445777111444275,-0.16286059
2021-06-01,404.0056771740754,0.33840304182509584,2708,0.33833083458270863,-0.14312771
2021-07-01,404.0634160390404,0.34220532319391594,2738,0.3420789605197401,-0.12400421
2021-08-01,404.1211549040055,0.3460076045627396,2769,0.345952023988006,-0.10427118
2021-09-01,404.1788937689705,0.3498098859315597,2800,0.34982508745627183,-0.08589259
2021-10-01,404.2366326339355,0.35361216730038336,2830,0.35357321339330333,-0.079245746
2021-11-01,404.29437149890055,0.35741444866920347,2861,0.3574462768615692,-0.07243627
2021-12-01,404.3521103638656,0.3612167300380271,2891,0.3611944027986007,-0.06578943
2022-01-01,404.4098492288306,0.3650190114068437,2922,0.36506746626686654,-0.058980107
2022-02-01,404.46758809379565,0.36882129277566733,2953,0.3689405297351324,-0.05217071
2022-03-01,404.5253269587607,0.372623574144491,2981,0.37243878060969515,-0.04584884
2022-04-01,404.5830658237257,0.3764258555133111,3012,0.37631184407796103,-0.039082427
2022-05-01,404.6408046886907,0.3802281368821312,3042,0.3800599700149925,-0.032487657
2022-06-01,404.6985435536557,0.3840304182509513,3073,0.38393303348325836,-0.025723727
2022-07-01,404.7562824186208,0.38783269961977496,3103,0.38768115942028986,-0.019128958
2022-08-01,404.8140212835858,0.39163498098859506,3134,0.39155422288855574,-0.012365183
2022-09-01,404.8717601485508,0.39543726235741516,3165,0.39542728635682156,-0.005601253
2022-10-01,404.9294990135159,0.3992395437262424,3195,0.39917541229385306,0.0009935182
2022-11-01,404.98723787848087,0.4030418250950589,3226,0.40304847576211894,0.00775737
2022-12-01,405.0449767434459,0.40684410646387903,3256,0.4067966016991504,0.014352219
2023-01-01,405.1027156084109,0.41064638783269913,3287,0.41066966516741626,0.021116072
2023-02-01,405.160454473376,0.4144486692015228,3318,0.41454272863568215,0.027879924
2023-03-01,405.218193338341,0.41825095057034645,3346,0.4180409795102449,0.03413669
2023-04-01,405.275932203306,0.42205323193916655,3377,0.4219140429785107,0.040900465
2023-05-01,405.33367106827103,0.42585551330798666,3407,0.4256621689155422,0.047495313
2023-06-01,405.3914099332361,0.4296577946768103,3438,0.4295352323838081,0.054259162
