time,temperature,co2_ppm
1859-05-01,0.020168078693255848,287.28112041237915
1859-06-01,-0.12119319058476147,286.47335173147695
1859-07-01,-0.2910734986746297,284.5094171655914
1859-08-01,-0.3629814285262247,282.65426714956027
1859-09-01,-0.43109818417268964,282.72751720663945
1859-10-01,-0.2916987663954832,284.0893071775083
1859-11-01,-0.09835689510510903,285.3195169604266
1859-12-01,-0.04351411748117884,286.11436374852684
1860-01-01,-0.3094365228627797,286.6252731973154
1860-02-01,-0.20911379806212116,286.9630555550846
1860-03-01,-0.6181536333546359,287.28423896271505
1860-04-01,-0.2312128537753171,287.51473165111776
1860-05-01,-0.18686502513812556,287.4777030737606
1860-06-01,-0.1984409589595027,286.66912754576884
1860-07-01,-0.2507523636164007,284.7069048502416
1860-08-01,-0.19002457696544076,282.8579850152098
